id,value
Drake,7
Khalid,1
Post Malone,0
Justin Bieber,8
Lil Uzi Vert,4
21 Savage,4
Kendrick Lamar,5
Rihanna,9
Travis Scott,1
Future,8
Nicki Minaj,4
The Weeknd,4
Gucci Mane,19
XXXTENTACION,2
Chris Brown,4
Young Thug,8
Lil Wayne,8
Ty Dolla $ign,2
Big Sean,4
Migos,10
Kanye West,8
SZA,2
Beyoncé,8
Kodak Black,6
2 Chainz,10
Wiz Khalifa,8
A$AP Rocky,1
French Montana,11
Bryson Tiller,2
DJ Khaled,7
Lil Pump,1
A Boogie Wit da Hoodie,2
Frank Ocean,2
Chance The Rapper,1
J. Cole,6
Lil Yachty,3
Rae Sremmurd,1
Snoop Dogg,15
Playboi Carti,1
NAV,2
Jeremih,4
A$AP Ferg,3
Cardi B,2
JAY Z,0
Childish Gambino,4
Jhene Aiko,3
Metro Boomin,1
Trey Songz,9
Rick Ross,6
Meek Mill,4
PnB Rock,2
Usher,7
Fetty Wap,0
PARTYNEXTDOOR,4
Yo Gotti,15
John Legend,5
Tyler, The Creator,4
Offset,0
ScHoolboy Q,4
Miguel,5
The Notorious B.I.G.,5
Kevin Gates,10
2Pac,11
Kehlani,1
Ne-Yo,6
T-Pain,6
A$AP Mob,2
Tyga,12
Juicy J,4
Kid Ink,9
6LACK,1
YG,3
Alicia Keys,7
Desiigner,1
MadeinTYO,2
Wale,7
Joey Bada$$,3
Mac Miller,9
Nelly,8
Aminé,1
Daniel Caesar,2
Ski Mask The Slump God,1
Pusha T,3
R. Kelly,8
Jeezy,11
OutKast,6
Anderson .Paak,2
GoldLink,3
Rich Homie Quan,15
Vince Staples,4
Chief Keef,13
Mike WiLL Made-It,2
dvsn,2
Sage The Gemini,2
Roy Woods,2
Ugly God,1
Waka Flocka Flame,5
H.E.R.,1
Ice Cube,13
BROCKHAMPTON,3
Mary J. Blige,15
Fabolous,10
Isaiah Rashad,2
Vic Mensa,2
BJ The Chicago Kid,2
Omarion,3
Ginuwine,8
Denzel Curry,2
Action Bronson,4
Lloyd,4
Young Money,2
Earl Sweatshirt,2
Solange,6
Keri Hilson,2
Keyshia Cole,7
Danny Brown,4
Flatbush Zombies,1
Eazy-E,5
ILoveMakonnen,3
Ab-Soul,4
Ace Hood,6
Curren$y,11
D'Angelo,4
The Internet,3
Toro y Moi,8
Bow Wow,6
Big K.R.I.T.,3
Birdman,6
Freddie Gibbs,9
Paul Wall,13
Bun B,6
André 3000,1
Slim Thug,17
Domo Genesis,2
Pimp C,10
Casey Veggies,3
Dumbfoundead,4
Maxo Kream,3
Odd Future,2
OG Maco,3
Mike G,7
Audio Push,3